form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
Ἀνθρωπος	̓́Ανθρωπος	1	n	-	s	-	-	-	m	n	-
εἶναί	εἰμί	2	v	-	-	p	n	a	-	-	-
μοι	ἐγώ	3	p	1	s	-	-	-	m	d	-
Κυρηναῖος	Κυρηναῖος	4	a	-	s	-	-	-	m	n	-
δοκεῖς	δοκέω	5	v	2	s	p	i	a	-	-	-
,	,	6	u	-	-	-	-	-	-	-	-
κατὰ	κατά	7	r	-	-	-	-	-	-	-	-
τὸν	ὁ	8	l	-	s	-	-	-	m	a	-
Ἀλέξιδος	Ἄλεξις	9	n	-	s	-	-	-	m	g	-
Τυνδάρεων	Τυνδάρεως	10	n	-	s	-	-	-	m	a	-
,	,	11	u	-	-	-	-	-	-	-	-
ἑταῖρε	ἑταῖρος	12	n	-	s	-	-	-	m	v	-
Τιμόκρατες	Τιμοκράτης	13	n	-	s	-	-	-	m	v	-
·	·	14	u	-	-	-	-	-	-	-	-

κἀκεῖ	ἐκεῖ	1	d	-	-	-	-	-	-	-	-
γὰρ	γάρ	2	d	-	-	-	-	-	-	-	-
ἄν	ἄν	3	c	-	-	-	-	-	-	-	-
τις	τις	4	p	-	s	-	-	-	m	n	-
ἐπὶ	ἐπί	5	r	-	-	-	-	-	-	-	-
τὸ	ὁ	6	l	-	s	-	-	-	n	a	-
δεῖπνον	δεῖπνον	7	n	-	s	-	-	-	n	a	-
ἕνα	εἷς	8	n	-	s	-	-	-	m	a	-
καλῇ	καλέω	9	v	3	s	p	s	a	-	-	-
,	,	10	u	-	-	-	-	-	-	-	-
πάρεισιν	πάρειμι	11	v	3	p	p	i	a	-	-	-
ὀκτωκαίδεκ̓	ὀκτωκαίδεκα	12	a	-	-	-	-	-	-	-	-
ἄλλοι	ἄλλος	13	p	-	p	-	-	-	m	n	-
καὶ	καί	14	d	-	-	-	-	-	-	-	-
δέκα	δέκα	15	a	-	-	-	-	-	-	-	-
ἅρματα	ἅρμα	16	n	-	p	-	-	-	n	n	-
συνωρίδες	συνωρίς	17	n	-	p	-	-	-	f	n	-
τε	τε	18	c	-	-	-	-	-	-	-	-
πεντεκαίδεκα	πεντεκαίδεκα	19	a	-	-	-	-	-	-	-	-
