form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
τὸν	ὁ	1	l	-	s	-	-	-	m	a	-
μὲν	μέν	2	d	-	-	-	-	-	-	-	-
ψάλτην	ψάλτης	3	n	-	s	-	-	-	m	a	-
εὐσχήμονα	εὐσχήμων	4	a	-	s	-	-	-	m	a	-
ὄντα	εἰμί	5	v	-	s	p	p	a	m	a	-
λευκὸν	λευκός	6	a	-	s	-	-	-	m	a	-
ἐνέδυσεν	ἐνδύω	7	v	3	s	a	i	a	-	-	-
χιτῶνα	χιτών	8	n	-	s	-	-	-	m	a	-
,	,	9	u	-	-	-	-	-	-	-	-
καὶ	καί	10	c	-	-	-	-	-	-	-	-
λεπτὸν	λεπτός	11	a	-	s	-	-	-	n	a	-
ὑποδήσας	ὑποδέω	12	v	-	s	a	p	a	m	n	-
στολάριον	στολή	13	n	-	s	-	-	-	m	a	-
καὶ	καί	14	c	-	-	-	-	-	-	-	-
κτενίσας	κτενίζω	15	v	-	s	a	p	a	m	n	-
τὴν	ὁ	16	l	-	s	-	-	-	f	a	-
τρίχα	θρίξ	17	n	-	s	-	-	-	f	a	-
,	,	18	u	-	-	-	-	-	-	-	-
δοὺς	δίδωμι	19	v	-	s	a	p	a	m	n	-
ὀράριον	ὀράριον	20	n	-	s	-	-	-	n	a	-
ἐπὶ	ἐπί	21	r	-	-	-	-	-	-	-	-
τοὺς	ὁ	22	l	-	p	-	-	-	m	a	-
ὤμους	ὦμος	23	n	-	p	-	-	-	m	a	-
,	,	24	u	-	-	-	-	-	-	-	-
ἔστησεν	ἵστημι	25	v	3	s	a	i	a	-	-	-
ἐπὶ	ἐπί	26	r	-	-	-	-	-	-	-	-
τοῦ	ὁ	27	l	-	s	-	-	-	m	g	-
πρατῆρος	πρατήρ	28	n	-	s	-	-	-	m	g	-
.	.	29	u	-	-	-	-	-	-	-	-
τὸν	ὁ	30	l	-	s	-	-	-	m	a	-
δὲ	δέ	31	d	-	-	-	-	-	-	-	-
γραμματικὸν	γραμματικός	32	a	-	s	-	-	-	m	a	-
λεπτὸν	λεπτός	33	a	-	s	-	-	-	m	a	-
ἀπὸ	ἀπό	34	r	-	-	-	-	-	-	-	-
τῶν	ὁ	35	l	-	p	-	-	-	n	g	-
σφυρῶν	σφυρόν	36	n	-	p	-	-	-	n	g	-
τυγχάνοντα	τυγχάνω	37	v	-	s	p	p	a	m	a	-
βαθὺν	βαθύς	38	a	-	s	-	-	-	m	a	-
ἐνέδυσεν	ἐνδύω	39	v	3	s	a	i	a	-	-	-
χιτῶνα	χιτών	40	n	-	s	-	-	-	m	a	-
καὶ	καί	41	c	-	-	-	-	-	-	-	-
βαθὺν	βαθύς	42	a	-	s	-	-	-	m	a	-
ὑπόδημα	ὑπόδημα	43	n	-	s	-	-	-	n	a	-
ὐπέδησεν	ὑποδύω	44	v	3	s	a	i	a	-	-	-
,	,	45	u	-	-	-	-	-	-	-	-
ἵνα	ἵνα	46	c	-	-	-	-	-	-	-	-
τὸ	ὁ	47	l	-	s	-	-	-	n	n	-
βαθὺ	βαθύς	48	a	-	s	-	-	-	n	n	-
τῶν	ὁ	49	l	-	p	-	-	-	n	g	-
χιτωνίων	χιτώνιον	50	n	-	p	-	-	-	n	g	-
ἅμα	ἅμα	51	d	-	-	-	-	-	-	-	-
τῇ	ὁ	52	l	-	s	-	-	-	f	d	-
τοῦ	ὁ	53	l	-	s	-	-	-	n	g	-
ὑποδήματος	ὑπόδημα	54	n	-	s	-	-	-	n	g	-
σκέπῃ	σκέπη	55	n	-	s	-	-	-	f	d	-
τὴν	ὁ	56	l	-	s	-	-	-	f	a	-
αἰσχρὰν	αἰσχρός	57	a	-	s	-	-	-	f	a	-
καλύψῃ	καλύπτω	58	v	3	s	a	s	a	-	-	-
κνήμην	κνήμη	59	n	-	s	-	-	-	f	a	-
·	·	60	u	-	-	-	-	-	-	-	-

καὶ	καί	1	c	-	-	-	-	-	-	-	-
κτενίσας	κτενίζω	2	v	-	s	a	p	a	m	n	-
τὴν	ὁ	3	l	-	s	-	-	-	f	a	-
κόμην	κόμη	4	n	-	s	-	-	-	f	a	-
,	,	5	u	-	-	-	-	-	-	-	-
δοὺς	δίδωμι	6	v	-	s	a	p	a	m	n	-
ὀράριον	ὀράριον	7	n	-	s	-	-	-	n	a	-
ἔστησεν	ἵστημι	8	v	3	s	a	i	a	-	-	-
ἐπὶ	ἐπί	9	r	-	-	-	-	-	-	-	-
τοῦ	ὁ	10	l	-	s	-	-	-	m	g	-
πρατῆρος	πρατήρ	11	n	-	s	-	-	-	m	g	-
.	.	12	u	-	-	-	-	-	-	-	-

τοῦ	ὁ	1	l	-	s	-	-	-	m	g	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
Αἰσώπου	Αἴσωπος	3	n	-	s	-	-	-	m	g	-
μηδὲν	μηδείς	4	p	-	s	-	-	-	n	a	-
δυνάμενος	δύναμαι	5	v	-	s	p	p	e	m	n	-
καλύψαι	καλύπτω	6	v	-	-	a	n	a	-	-	-
ἢ	ἤ1	7	c	-	-	-	-	-	-	-	-
κοσμῆσαι	κοσμέω	8	v	-	-	a	n	a	-	-	-
,	,	9	u	-	-	-	-	-	-	-	-
ἐπείπερ	ἐπείπερ	10	c	-	-	-	-	-	-	-	-
ἦν	εἰμί	11	v	3	s	i	i	a	-	-	-
ὅλος	ὅλοξ	12	a	-	s	-	-	-	m	n	-
ἁμάρτημα	ἁμάρτημα	13	n	-	s	-	-	-	n	n	-
χύσεων	χύσις	14	n	-	p	-	-	-	f	g	-
,	,	15	u	-	-	-	-	-	-	-	-
ἐνέδυσεν	ἐνδύω	16	v	3	s	a	i	a	-	-	-
αὐτὸν	αὐτός	17	p	-	s	-	-	-	m	a	-
σάκκον	σάκκος	18	n	-	s	-	-	-	m	a	-
χιτῶνα	χιτών	19	n	-	s	-	-	-	m	a	-
,	,	20	u	-	-	-	-	-	-	-	-
καὶ	καί	21	c	-	-	-	-	-	-	-	-
λακινάριον	λακινάριον	22	n	-	s	-	-	-	n	a	-
αὐτὸν	αὐτός	23	p	-	s	-	-	-	m	a	-
ὑποζώσας	ὑποζώννυμι	24	v	-	s	a	p	a	m	n	-
μέσον	μέσος	25	a	-	s	-	-	-	m	a	-
αὐτὸν	αὐτός	26	p	-	s	-	-	-	m	a	-
τῶν	ὁ	27	l	-	p	-	-	-	f	g	-
καλῶν	κάλη	28	n	-	p	-	-	-	f	g	-
ἔστησεν	ἵστημι	29	v	3	s	a	i	a	-	-	-
.	.	30	u	-	-	-	-	-	-	-	-

τοῦ	ὁ	1	l	-	s	-	-	-	m	g	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
κήρυκος	κῆρυξ	3	n	-	s	-	-	-	m	g	-
τὰ	ὁ	4	l	-	p	-	-	-	n	a	-
σωμάτια	σωμάτιον	5	n	-	p	-	-	-	n	a	-
κηρύττοντος	κηρύσσω	6	v	-	s	p	p	a	m	g	-
πολλοὶ	πολύς	7	a	-	p	-	-	-	m	n	-
κατενόουν	κατανοέω	8	v	3	p	i	i	a	-	-	-
,	,	9	u	-	-	-	-	-	-	-	-
καὶ	καί	10	c	-	-	-	-	-	-	-	-
ἔλεγον	λέγω1	11	v	3	p	i	i	a	-	-	-
"	"	12	u	-	-	-	-	-	-	-	-
οὐᾶ	οὐά	13	i	-	-	-	-	-	-	-	-
,	,	14	u	-	-	-	-	-	-	-	-
οὗτοι	οὗτος	15	p	-	p	-	-	-	m	n	-
καλλίοψοι	καλλίοψος	16	n	-	p	-	-	-	m	n	-
